system:index,Npp,Npp_QC,Sbsp,ag__,ath_,athr,dtty,frbs,fung,grmn,hrst,lchn,moss,sesn,shrb,sym_,tree,vscl,year,.geo
2000_02_18_00000000000000000076,1026.0,52.0,1-Peary,,Larter and Nagy 1997,Larter and Nagy,fecal,7.66,,19.76,,0.0,,2-Summer,50.81,1,0.0,58.47,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_00000000000000000077,1026.0,52.0,1-Peary,,Larter and Nagy 1997,Larter and Nagy,fecal,4.84,,19.155,,2.22,,3-Autumn,61.89,1,0.0,66.73,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_00000000000000000078,1026.0,52.0,1-Peary,,Larter and Nagy 1997,Larter and Nagy,fecal,19.75666667,,33.33333333,,1.34,,4-Winter,13.84333333,1,0.0,33.6,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_00000000000000000079,1026.0,52.0,1-Peary,,Larter and Nagy 1997,Larter and Nagy,fecal,17.34,,36.69333333,,0.94,,5-Spring,5.646666667,1,0.0,22.986666667,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_0000000000000000007a,1026.0,52.0,1-Peary,,Larter and Nagy 1997,Larter and Nagy,fecal,46.975,,13.1,,1.21,,5-Spring,9.675,1,0.0,56.65,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_0000000000000000007b,960.0,61.0,1-Peary,,Thomas and Edmonds 1983,Thomas and Edmonds,rumen,20.0,,40.0,,4.0,25.0,5-Spring,9.0,1,0.0,29.0,2000.0,"{""type"":""Point"",""coordinates"":[93.5192994815833,73.24670108005807]}"
2000_02_18_0000000000000000007c,1292.0,45.0,1-Peary,,Thomas and Edmonds 1983,Thomas and Edmonds,rumen,36.0,,20.0,,15.0,13.0,5-Spring,10.0,1,0.0,46.0,2000.0,"{""type"":""Point"",""coordinates"":[99.4691984129246,72.67660055127395]}"
2000_02_18_0000000000000000007d,863.0,68.0,1-Peary,,Thomas and Edmonds 1983,Thomas and Edmonds,rumen,2.0,,15.0,,10.0,58.0,5-Spring,0.0,1,0.0,2.0,2000.0,"{""type"":""Point"",""coordinates"":[127.99999845621896,70.34000038556096]}"
2000_02_18_0000000000000000007e,150.0,83.0,1-Peary,,Thomas and Edmonds 1983,Thomas and Edmonds,rumen,5.0,,47.0,,11.0,34.0,5-Spring,1.0,1,0.0,6.0,2000.0,"{""type"":""Point"",""coordinates"":[111.30000060500718,75.3000011785425]}"
2000_02_18_0000000000000000007f,,,1-Peary,,Thomas and Edmonds 1983,Thomas and Edmonds,rumen,0.0,,57.0,,2.0,40.0,5-Spring,0.0,1,0.0,0.0,2000.0,"{""type"":""Point"",""coordinates"":[118.97209800431136,76.77750201709652]}"
