author_yr,season,Subspecies,data type,sympatric_ungulates,lichen,vascular,graminoid,Npp
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,2,77,5,5,2109.43581209238
Gustine et al. 2014,4-Winter,2-Barren Ground,fecal,2,54,15,15,2109.43581209238
Joly et al 2015,4-Winter,3-Mountain,fecal,3,88.8,4.6,1.6,2973.15319093065
Joly et al 2015,4-Winter,3-Mountain,fecal,3,90.5,2.9,3.3,2973.15319093065
Joly et al 2015,4-Winter,3-Mountain,fecal,3,91.5,3.3,1,2973.15319093065
Bergerud 1972,4-Winter,4-Woodland,rumen,1,56,30,7,6111.11456025965
Bergerud 1972,2-Summer,4-Woodland,rumen,1,24,31,10,6111.11456025965
Bergerud 1972,1-Calving,4-Woodland,rumen,1,10,27,51,6111.11456025965
Bergerud 1972,3-Autumn,4-Woodland,rumen,1,40,33,10,6111.11456025965
Jung et al 2015,2-Summer,4-Woodland,fecal,2,30.5,27.8,29.9,2223.62274111591
Jung et al 2015,4-Winter,4-Woodland,fecal,2,55.5,17.6,13,2223.62274111591
Gustine et al. 2012,4-Winter,4-Woodland,fecal,4,72,14,1,2944.6584229511
Gustine et al. 2012,4-Winter,4-Woodland,fecal,4,68,8,3,2944.6584229511
Gustine et al. 2014,4-Winter,4-Woodland,fecal,4,72,15,2,2944.6584229511
Gustine et al. 2014,4-Winter,4-Woodland,fecal,4,68,8,3,2944.6584229511
Fischer and Gates 2005,4-Winter,4-Woodland,fecal,2,65.3,10.6,7.4,3040.48094975991
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,63,12.7,0.2,4282.29799890014
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,64,15,1,4282.29799890014
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,40,50,2,4282.29799890014
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,46,11.3,4.2,4282.29799890014
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,0,46.8,8.7,4.6,4282.29799890014
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,53.5,22.5,6.7,4282.29799890014
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,47,13,7.4,4282.29799890014
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,40,18,10,4282.29799890014
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,11,18.7,11,4282.29799890014
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,34,43,13,4282.29799890014
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,34,38,14,4282.29799890014
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,44,17,15,4282.29799890014
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,65,12,15,4282.29799890014
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,30,8.2,18,4282.29799890014
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,57,19,19,4282.29799890014
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,24,36,21,4282.29799890014
Christopherson et al. 2019,2-Summer,4-Woodland,fecal,2,0,62,0,6075.23441424599
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,1,8.8,20.2,,3464.36165468417
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,26.6,31.1,,3464.36165468417
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,62.2,35.4,,3464.36165468417
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,0,84,14,,3464.36165468417
Bezard et al 2015,4-Winter,5-Reindeer,fecal,1,46.35,26.25,20.93,1829.51594733287
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,37.4,37.85,20.94,1952.71118061637
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,42.58,24.92,30.2,1829.51594733287
Bezard et al 2015,4-Winter,5-Reindeer,fecal,1,33.62,30.8,32.76,2731.56250042559
Bezard et al 2015,2-Summer,5-Reindeer,fecal,1,32.95,28.4,36.19,2731.56250042559
Bjorkvoll et al 2009,4-Winter,5-Reindeer,rumen,0,1.3,14.1,63.7,274.426970227304
Bjorkvoll et al 2009,5-Spring,5-Reindeer,rumen,4,2.4,32.2,32.3,274.426970227304
Bjorkvoll et al 2009,2-Summer,5-Reindeer,rumen,0,0.2,27.7,60.7,274.426970227304
Gaare and Skogland 1975,5-Spring,5-Reindeer,rumen,3,34.1,22,21.8,1507.27146762675
Gaare and Skogland 1975,4-Winter,5-Reindeer,rumen,3,53.2,12,26.3,1507.27146762675
Gaare and Skogland 1975,4-Winter,5-Reindeer,rumen,3,55.9,8.9,27.9,1507.27146762675
Gaare and Skogland 1975,3-Autumn,5-Reindeer,rumen,3,51.3,3.9,38,1507.27146762675
Gaare and Skogland 1975,1-Calving,5-Reindeer,rumen,3,31.2,25.1,25.1,1507.27146762675
Gaare and Skogland 1975,3-Autumn,5-Reindeer,rumen,3,34,11.6,47,1507.27146762675
Gaare and Skogland 1975,2-Summer,5-Reindeer,rumen,3,25.1,20.9,49,1507.27146762675
Kojola et al 1995,4-Winter,5-Reindeer,fecal,2,53.2,22.9,6.3,2371.1399558855
Kojola et al 1995,3-Autumn,5-Reindeer,fecal,2,53.9,16.5,10.1,2371.1399558855
Mathiesen et al 1999,4-Winter,5-Reindeer,rumen,0,36.2,44.42,12.7,1807.64240455434
Mathiesen et al 1999,2-Summer,5-Reindeer,rumen,0,10.8,66.1,16.7,1351.40406554712
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,25.8,17.2,51.3,1807.64240455434
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,14.4,27.1,53.4,1807.64240455434
Mathiesen et al 2000,3-Autumn,5-Reindeer,rumen,1,14.8,25.1,60.9,1807.64240455434
Mathiesen et al 2000,4-Winter,5-Reindeer,rumen,1,13.3,16.2,62.3,1807.64240455434
Ophof et al. 2013,4-Winter,5-Reindeer,fecal,1,41.7,33.7,10,2167.90080878638
Ophof et al. 2013,5-Spring,5-Reindeer,fecal,1,45.1,22.2,18.3,2167.90080878638
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,2.2,4.6,35.5,127.380882888978
Sormo et al 1999,3-Autumn,5-Reindeer,rumen,0,0,39.3,68.2,127.380882888978
Sormo et al 1999,2-Summer,5-Reindeer,rumen,0,1.7,76.5,39.7,127.380882888978
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,0,81.7,30.3,127.380882888978
Sormo et al 1999,4-Winter,5-Reindeer,rumen,0,0.3,79.7,13,127.380882888978
Sormo et al 1999,3-Autumn,5-Reindeer,rumen,0,0.6,94.9,55.1,127.380882888978
Staaland and White 1991,4-Winter,5-Reindeer,rumen,0,2,12,41,278.370020291582
Staaland and White 1991,2-Summer,5-Reindeer,rumen,2,20,15,42,278.370020291582
Kazmin et al 2011,4-Winter,5-Reindeer,fecal,1,0,49.6,6.3,462.439122812548
Kazmin et al 2011,3-Autumn,5-Reindeer,fecal,1,0,37.9,15.9,462.439122812548
Kazmin et al 2011,2-Summer,5-Reindeer,fecal,1,0,43.1,22.4,462.439122812548
Rozenfield et al 2012,3-Autumn,5-Reindeer,fecal,2,0.02,0.301,0.536,462.439122812548
Rozenfield et al 2012,4-Winter,5-Reindeer,fecal,1,19.3,0.434,18.37,462.439122812548
Rozenfield et al 2012,5-Spring,5-Reindeer,fecal,1,0,0.58,0.342,462.439122812548
Rozenfield et al 2012,2-Summer,5-Reindeer,fecal,1,0.01,0.294,0.64,462.439122812548
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,76,7.7,3.1,2008.39311502094
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,71.9,4.76,12.5,2008.39311502094
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,49.4,16.1,17.9,2008.39311502094
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,36.8,29.1,32.4,2008.39311502094
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,71.8,7.2,15.3,2008.39311502094
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,56,7.1,12.1,2008.39311502094
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,38.9,47.3,10.4,2008.39311502094
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,68.8,9.2,10.3,2008.39311502094
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,0,56.2,15.9,13.9,2008.39311502094
Finstand and Kielland 2011,3-Autumn,6-Introduced-Reindeer,fecal,2,81.3,9.2,7.9,2008.39311502094
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,24.1,33.5,40.3,2008.39311502094
Finstand and Kielland 2011,3-Autumn,6-Introduced-Reindeer,fecal,2,68.7,7.6,12.4,2008.39311502094
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,31.4,45.1,16.7,2008.39311502094
Finstand and Kielland 2011,5-Spring,6-Introduced-Reindeer,fecal,2,65.1,7.4,11.1,2008.39311502094
Finstand and Kielland 2011,1-Calving,6-Introduced-Reindeer,fecal,2,49,26,13.8,2008.39311502094
Finstand and Kielland 2011,4-Winter,6-Introduced-Reindeer,fecal,2,76.6,15.5,4.8,2008.39311502094
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,48.8,23.9,5.3,2008.39311502094
Finstand and Kielland 2011,2-Summer,6-Introduced-Reindeer,fecal,2,62.3,18.3,14.1,2008.39311502094
Ihl and Klein 2001,4-Winter,6-Introduced-Reindeer,fecal,2,53.6,17,12.1,2008.39311502094
Ihl and Klein 2001,4-Winter,6-Introduced-Reindeer,fecal,2,55.5,14.9,7.2,2008.39311502094
