system:index,Npp,Npp_QC,author_yr,max_year,min_year,year,.geo
2005_01_01_00000000000000000051,,,Mathiesen et al 2000,1996,1995,2005.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2005_01_01_00000000000000000052,,,Mathiesen et al 2000,1996,1995,2005.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2005_01_01_00000000000000000053,,,Mathiesen et al 2000,1996,1995,2005.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2005_01_01_00000000000000000054,,,Mathiesen et al 2000,1996,1995,2005.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2005_01_01_00000000000000000008,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000009,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000a,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000b,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000c,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000d,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000e,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000000f,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000010,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000011,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000012,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000013,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000014,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000015,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000016,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000017,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000018,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000019,2027.0,46.0,Finstand and Kielland 2011,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000032,3642.0,37.0,Ihl 2010,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[162.99999988043785,66.99999992349836]}"
2005_01_01_00000000000000000033,2027.0,46.0,Ihl 2010,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000034,2027.0,46.0,Ihl and Klein 2001,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_00000000000000000035,2027.0,46.0,Ihl and Klein 2001,1997,1996,2005.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2005_01_01_0000000000000000001a,3879.0,30.0,Fischer and Gates 2005,2000,1999,2005.0,"{""type"":""Point"",""coordinates"":[136.99999831283512,62.000000994067406]}"
2005_01_01_00000000000000000001,,,Bjorkvoll et al 2009,2002,1999,2005.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2005_01_01_00000000000000000002,,,Bjorkvoll et al 2009,2002,1999,2005.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2005_01_01_00000000000000000003,,,Bjorkvoll et al 2009,2002,1999,2005.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2005_01_01_00000000000000000060,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_00000000000000000063,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_00000000000000000064,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_00000000000000000066,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_00000000000000000068,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_0000000000000000006a,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_0000000000000000006c,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_0000000000000000006e,1156.0,36.0,Schaefer et al. 2016,2009,2000,2005.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2005_01_01_00000000000000000040,976.0,39.0,Kazmin et al 2011,2007,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_00000000000000000041,976.0,39.0,Kazmin et al 2011,2007,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_00000000000000000042,976.0,39.0,Kazmin et al 2011,2007,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_0000000000000000005b,976.0,39.0,Rozenfield et al 2012,2009,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_0000000000000000005c,976.0,39.0,Rozenfield et al 2012,2009,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_0000000000000000005d,976.0,39.0,Rozenfield et al 2012,2009,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_0000000000000000005e,976.0,39.0,Rozenfield et al 2012,2009,2004,2005.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2005_01_01_0000000000000000008e,,,Bezard et al 2015,2008,2005,2005.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2005_01_01_0000000000000000008f,,,Bezard et al 2015,2008,2005,2005.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2005_01_01_00000000000000000090,,,Bezard et al 2015,2008,2005,2005.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
