system:index,Npp,Npp_QC,author_yr,max_year,min_year,year,.geo
2000_02_18_00000000000000000075,,,Staaland and White 1991,,,2000.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2000_02_18_00000000000000000076,,,Staaland and White 1991,,,2000.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2000_02_18_00000000000000000089,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008a,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008b,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_0000000000000000008c,1514.0,21.0,Bergerud 1972,,1959,2000.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2000_02_18_00000000000000000082,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000083,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000084,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000085,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000086,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000087,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_00000000000000000088,,,Gaare and Skogland 1975,,1970,2000.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2000_02_18_0000000000000000007d,960.0,61.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[93.5192994815833,73.24670108005807]}"
2000_02_18_0000000000000000007e,1292.0,45.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[99.4691984129246,72.67660055127395]}"
2000_02_18_0000000000000000007f,863.0,68.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[127.99999845621896,70.34000038556096]}"
2000_02_18_00000000000000000080,150.0,83.0,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[111.30000060500718,75.3000011785425]}"
2000_02_18_00000000000000000081,,,Thomas and Edmonds 1983,1977,1974,2000.0,"{""type"":""Point"",""coordinates"":[118.97209800431136,76.77750201709652]}"
2000_02_18_00000000000000000004,2054.0,66.0,Boertje 1984,1980,1978,2000.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2000_02_18_00000000000000000005,2054.0,66.0,Boertje 1984,1980,1978,2000.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2000_02_18_00000000000000000006,2054.0,66.0,Boertje 1984,1980,1978,2000.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2000_02_18_00000000000000000007,2054.0,66.0,Boertje 1984,1980,1978,2000.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
2000_02_18_0000000000000000008d,3251.0,28.0,Thomas and Hervieux 1986,1981,1980,2000.0,"{""type"":""Point"",""coordinates"":[124.00000198813481,64.00000145766]}"
2000_02_18_00000000000000000061,1379.0,31.0,Schaefer et al. 2016,1989,1980,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000057,3980.0,28.0,Rominger and Oldemeyer 1990,1986,1983,2000.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2000_02_18_00000000000000000058,3980.0,28.0,Rominger and Oldemeyer 1990,1986,1983,2000.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2000_02_18_00000000000000000059,3980.0,28.0,Rominger and Oldemeyer 1990,1986,1983,2000.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2000_02_18_0000000000000000005a,3980.0,28.0,Rominger and Oldemeyer 1990,1986,1983,2000.0,"{""type"":""Point"",""coordinates"":[117.52000066445886,51.389998111094066]}"
2000_02_18_00000000000000000043,,,Kojola et al 1995,1992,1988,2000.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2000_02_18_00000000000000000044,,,Kojola et al 1995,1992,1988,2000.0,"{""type"":""Point"",""coordinates"":[-26.000001567602734,69.00000038709096]}"
2000_02_18_0000000000000000005f,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000062,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000065,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000067,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000069,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_0000000000000000006b,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_0000000000000000006d,1379.0,31.0,Schaefer et al. 2016,1999,1990,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000000,1162.0,55.0,Barten et al 2001,1993,1992,2000.0,"{""type"":""Point"",""coordinates"":[143.24999920417434,61.429998565506466]}"
2000_02_18_00000000000000000078,1026.0,52.0,Larter and Nagy 1997,1994,1993,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_00000000000000000079,1026.0,52.0,Larter and Nagy 1997,1994,1993,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_0000000000000000007a,1026.0,52.0,Larter and Nagy 1997,1994,1993,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_0000000000000000007b,1026.0,52.0,Larter and Nagy 1997,1994,1993,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_0000000000000000007c,1026.0,52.0,Larter and Nagy 1997,1994,1993,2000.0,"{""type"":""Point"",""coordinates"":[120.0000010609496,73.00000131427616]}"
2000_02_18_00000000000000000045,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_00000000000000000046,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_00000000000000000047,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_00000000000000000048,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_00000000000000000049,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004a,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004b,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004c,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004d,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004e,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000004f,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_00000000000000000050,1295.0,52.0,Larter and Nagy 2004,1998,1993,2000.0,"{""type"":""Point"",""coordinates"":[122.00000152454218,72.49999785405224]}"
2000_02_18_0000000000000000006f,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000070,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000071,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000072,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000073,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000074,,,Sormo et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.000000176824933,79.45000180606456]}"
2000_02_18_00000000000000000093,,,Mathiesen et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-20.99999817907071,69.00000038709096]}"
2000_02_18_00000000000000000094,,,Mathiesen et al 1999,,1994,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000051,,,Mathiesen et al 2000,1996,1995,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000052,,,Mathiesen et al 2000,1996,1995,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000053,,,Mathiesen et al 2000,1996,1995,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000054,,,Mathiesen et al 2000,1996,1995,2000.0,"{""type"":""Point"",""coordinates"":[-22.999998642663307,69.00000038709096]}"
2000_02_18_00000000000000000008,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000009,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000a,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000b,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000c,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000d,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000e,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000000f,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000010,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000011,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000012,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000013,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000014,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000015,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000016,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000017,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000018,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000019,2029.0,20.0,Finstand and Kielland 2011,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000032,3140.0,39.0,Ihl 2010,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[162.99999988043785,66.99999992349836]}"
2000_02_18_00000000000000000033,2029.0,20.0,Ihl 2010,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000034,2029.0,20.0,Ihl and Klein 2001,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_00000000000000000035,2029.0,20.0,Ihl and Klein 2001,1997,1996,2000.0,"{""type"":""Point"",""coordinates"":[164.67499876375004,65.28499844463572]}"
2000_02_18_0000000000000000001a,3596.0,29.0,Fischer and Gates 2005,2000,1999,2000.0,"{""type"":""Point"",""coordinates"":[136.99999831283512,62.000000994067406]}"
2000_02_18_00000000000000000001,,,Bjorkvoll et al 2009,2002,1999,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000002,,,Bjorkvoll et al 2009,2002,1999,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000003,,,Bjorkvoll et al 2009,2002,1999,2000.0,"{""type"":""Point"",""coordinates"":[-15.00000124739397,78.00000024370713]}"
2000_02_18_00000000000000000060,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000063,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000064,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000066,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000068,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_0000000000000000006a,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_0000000000000000006c,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_0000000000000000006e,1379.0,31.0,Schaefer et al. 2016,2009,2000,2000.0,"{""type"":""Point"",""coordinates"":[55.000001601043834,48.00000220802026]}"
2000_02_18_00000000000000000040,431.0,50.0,Kazmin et al 2011,2007,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_00000000000000000041,431.0,50.0,Kazmin et al 2011,2007,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_00000000000000000042,431.0,50.0,Kazmin et al 2011,2007,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005b,431.0,50.0,Rozenfield et al 2012,2009,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005c,431.0,50.0,Rozenfield et al 2012,2009,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005d,431.0,50.0,Rozenfield et al 2012,2009,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000005e,431.0,50.0,Rozenfield et al 2012,2009,2004,2000.0,"{""type"":""Point"",""coordinates"":[179.3799992627512,71.10999795546998]}"
2000_02_18_0000000000000000008e,,,Bezard et al 2015,2008,2005,2000.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2000_02_18_0000000000000000008f,,,Bezard et al 2015,2008,2005,2000.0,"{""type"":""Point"",""coordinates"":[-26.459997973175156,69.58000012021373]}"
2000_02_18_00000000000000000090,,,Bezard et al 2015,2008,2005,2000.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2000_02_18_00000000000000000091,,,Bezard et al 2015,2008,2005,2000.0,"{""type"":""Point"",""coordinates"":[-26.9999995698485,68.80000078664182]}"
2000_02_18_00000000000000000092,,,Bezard et al 2015,2008,2005,2000.0,"{""type"":""Point"",""coordinates"":[-26.38000170027633,69.48000031998914]}"
2000_02_18_0000000000000000001b,1519.0,36.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_0000000000000000001c,1519.0,36.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_0000000000000000001d,1519.0,36.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_0000000000000000001e,2019.0,26.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_0000000000000000001f,2019.0,26.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_00000000000000000020,2019.0,26.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_00000000000000000021,1809.0,47.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2000_02_18_00000000000000000022,1809.0,47.0,Gustine et al. 2012,2008,2006,2000.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2000_02_18_00000000000000000025,1519.0,36.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000026,1519.0,36.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000027,1519.0,36.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,69.00000038709096]}"
2000_02_18_00000000000000000028,1809.0,47.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2000_02_18_00000000000000000029,1809.0,47.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[138.00000077418193,62.000000994067406]}"
2000_02_18_0000000000000000002a,2490.0,27.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2000_02_18_0000000000000000002b,2490.0,27.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2000_02_18_0000000000000000002c,2019.0,26.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_0000000000000000002d,2019.0,26.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_0000000000000000002e,2019.0,26.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[160.00000141459947,66.0000019212526]}"
2000_02_18_0000000000000000002f,1637.0,53.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[116.99999813601018,69.00000038709096]}"
2000_02_18_00000000000000000030,2117.0,28.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[115.00000213151867,66.0000019212526]}"
2000_02_18_00000000000000000031,1366.0,71.0,Gustine et al. 2014,2009,2006,2000.0,"{""type"":""Point"",""coordinates"":[51.999998676104404,66.99999992349836]}"
2000_02_18_00000000000000000023,2490.0,27.0,Gustine et al. 2012,2008,2007,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2000_02_18_00000000000000000024,2490.0,27.0,Gustine et al. 2012,2008,2007,2000.0,"{""type"":""Point"",""coordinates"":[149.99999909663651,62.999998996313174]}"
2000_02_18_0000000000000000003e,1787.0,26.0,Jung et al 2015,2010,2009,2000.0,"{""type"":""Point"",""coordinates"":[163.49999888156074,67.799998325295]}"
2000_02_18_0000000000000000003f,1787.0,26.0,Jung et al 2015,2010,2009,2000.0,"{""type"":""Point"",""coordinates"":[163.49999888156074,67.799998325295]}"
2000_02_18_00000000000000000055,,,Ophof et al. 2013,,2011,2000.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2000_02_18_00000000000000000056,,,Ophof et al. 2013,,2011,2000.0,"{""type"":""Point"",""coordinates"":[-26.999999569848498,69.2999997877647]}"
2000_02_18_00000000000000000036,1996.0,21.0,Joly and Cameron 2018,2013,2011,2000.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2000_02_18_00000000000000000037,1996.0,21.0,Joly and Cameron 2018,2013,2011,2000.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2000_02_18_00000000000000000038,1996.0,21.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2000_02_18_00000000000000000039,1996.0,21.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2000_02_18_0000000000000000003a,1996.0,21.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[156.00000048741427,67.09999972372295]}"
2000_02_18_0000000000000000003b,1895.0,24.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2000_02_18_0000000000000000003c,1895.0,24.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2000_02_18_0000000000000000003d,1895.0,24.0,Joly et al 2015,2013,2012,2000.0,"{""type"":""Point"",""coordinates"":[151.99999956022907,67.09999972372295]}"
2000_02_18_00000000000000000077,1219.0,28.0,Christopherson et al. 2019,,2015,2000.0,"{""type"":""Point"",""coordinates"":[66.0700008895896,48.559998413817254]}"
2001_01_01_00000000000000000075,,,Staaland and White 1991,,,2001.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2001_01_01_00000000000000000076,,,Staaland and White 1991,,,2001.0,"{""type"":""Point"",""coordinates"":[-15.000001247393966,77.90000044348255]}"
2001_01_01_00000000000000000089,1238.0,29.0,Bergerud 1972,,1959,2001.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2001_01_01_0000000000000000008a,1238.0,29.0,Bergerud 1972,,1959,2001.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2001_01_01_0000000000000000008b,1238.0,29.0,Bergerud 1972,,1959,2001.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2001_01_01_0000000000000000008c,1238.0,29.0,Bergerud 1972,,1959,2001.0,"{""type"":""Point"",""coordinates"":[53.00000113745124,48.50000120914315]}"
2001_01_01_00000000000000000082,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000083,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000084,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000085,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000086,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000087,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_00000000000000000088,,,Gaare and Skogland 1975,,1970,2001.0,"{""type"":""Point"",""coordinates"":[-7.249998893585013,60.030001362362384]}"
2001_01_01_0000000000000000007d,1259.0,50.0,Thomas and Edmonds 1983,1977,1974,2001.0,"{""type"":""Point"",""coordinates"":[93.5192994815833,73.24670108005807]}"
2001_01_01_0000000000000000007e,1695.0,48.0,Thomas and Edmonds 1983,1977,1974,2001.0,"{""type"":""Point"",""coordinates"":[99.4691984129246,72.67660055127395]}"
2001_01_01_0000000000000000007f,1674.0,52.0,Thomas and Edmonds 1983,1977,1974,2001.0,"{""type"":""Point"",""coordinates"":[127.99999845621896,70.34000038556096]}"
2001_01_01_00000000000000000080,144.0,87.0,Thomas and Edmonds 1983,1977,1974,2001.0,"{""type"":""Point"",""coordinates"":[111.30000060500718,75.3000011785425]}"
2001_01_01_00000000000000000081,,,Thomas and Edmonds 1983,1977,1974,2001.0,"{""type"":""Point"",""coordinates"":[118.97209800431136,76.77750201709652]}"
2001_01_01_00000000000000000004,2180.0,57.0,Boertje 1984,1980,1978,2001.0,"{""type"":""Point"",""coordinates"":[150.2999984973102,63.29999839698691]}"
