author_yr,season,Subspecies,data type,sympatric_ungulates,lichen,vascular,graminoid,Npp
Jung et al 2015,4-Winter,4-Woodland,fecal,2,55.5,17.6,13,2222.19047619048
Gustine et al. 2012,4-Winter,4-Woodland,fecal,4,72,14,1,1958.57142857143
Gustine et al. 2012,4-Winter,4-Woodland,fecal,4,68,8,3,1958.57142857143
Gustine et al. 2014,4-Winter,4-Woodland,fecal,4,72,15,2,1958.57142857143
Gustine et al. 2014,4-Winter,4-Woodland,fecal,4,68,8,3,1958.57142857143
Fischer and Gates 2005,4-Winter,4-Woodland,fecal,2,65.3,10.6,7.4,3651.71428571429
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,63,12.7,0.2,1109.14285714286
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,64,15,1,1109.14285714286
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,40,50,2,1109.14285714286
Schaefer et al. 2016,3-Autumn,4-Woodland,fecal,2,46,11.3,4.2,1109.14285714286
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,0,46.8,8.7,4.6,1109.14285714286
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,53.5,22.5,6.7,1109.14285714286
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,47,13,7.4,1109.14285714286
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,40,18,10,1109.14285714286
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,11,18.7,11,1109.14285714286
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,34,43,13,1109.14285714286
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,34,38,14,1109.14285714286
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,44,17,15,1109.14285714286
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,65,12,15,1109.14285714286
Schaefer et al. 2016,5-Spring,4-Woodland,fecal,2,30,8.2,18,1109.14285714286
Schaefer et al. 2016,4-Winter,4-Woodland,fecal,2,57,19,19,1109.14285714286
Schaefer et al. 2016,2-Summer,4-Woodland,fecal,2,24,36,21,1109.14285714286
Christopherson et al. 2019,2-Summer,4-Woodland,fecal,2,0,62,0,1274.42857142857
Rominger and Oldemeyer 1990,4-Winter,4-Woodland,fecal,1,8.8,20.2,,4040.66666666667
