latitude,longitude,season,ecotype,meanDiet,plant
62,138,4-Winter,4-Woodland,11.25,vascular
63,150,4-Winter,2-Barren Ground,10,vascular
69,117,4-Winter,2-Barren Ground,5,vascular
66,115,4-Winter,2-Barren Ground,20,vascular
67,52,4-Winter,2-Barren Ground,7,vascular
67,163,4-Winter,2-Barren Ground,0,vascular
65.285,164.675,4-Winter,2-Barren Ground,0,vascular
67.1,156,3-Autumn,2-Barren Ground,16.3,vascular
67.1,156,4-Winter,2-Barren Ground,11.225,vascular
67.1,152,4-Winter,3-Mountain,3.6,vascular
67.8,163.5,2-Summer,4-Woodland,27.8,vascular
67.8,163.5,4-Winter,4-Woodland,17.6,vascular
71.11,179.38,2-Summer,5-Reindeer,21.697,vascular
71.11,179.38,3-Autumn,5-Reindeer,19.1005,vascular
71.11,179.38,4-Winter,5-Reindeer,25.017,vascular
69,-26,3-Autumn,5-Reindeer,16.5,vascular
69,-26,4-Winter,5-Reindeer,22.9,vascular
72.5,122,4-Winter,1-Peary,30.45,vascular
72.5,122,5-Spring,1-Peary,42.9,vascular
72.5,122,1-Calving,1-Peary,54.3,vascular
72.5,122,2-Summer,1-Peary,75.35,vascular
72.5,122,3-Autumn,1-Peary,37.1333333333333,vascular
69,-23,3-Autumn,5-Reindeer,25.1,vascular
69,-23,4-Winter,5-Reindeer,26.23,vascular
69.3,-27,4-Winter,5-Reindeer,33.7,vascular
69.3,-27,5-Spring,5-Reindeer,22.2,vascular
51.39,117.52,4-Winter,4-Woodland,25.175,vascular
71.11,179.38,5-Spring,5-Reindeer,0.58,vascular
48,55,5-Spring,4-Woodland,20.05,vascular
48,55,2-Summer,4-Woodland,32.14,vascular
48,55,3-Autumn,4-Woodland,13,vascular
48,55,4-Winter,4-Woodland,15.8,vascular
79.45,-20,3-Autumn,5-Reindeer,67.1,vascular
79.45,-20,4-Winter,5-Reindeer,55.3333333333333,vascular
79.45,-20,2-Summer,5-Reindeer,76.5,vascular
77.9,-15,4-Winter,5-Reindeer,12,vascular
77.9,-15,2-Summer,5-Reindeer,15,vascular
,,4-Winter,2-Barren Ground,1.2,vascular
,,5-Spring,2-Barren Ground,0.2,vascular
,,1-Calving,2-Barren Ground,49.75,vascular
,,2-Summer,2-Barren Ground,58.2,vascular
,,3-Autumn,2-Barren Ground,0.7,vascular
48.56,66.07,2-Summer,4-Woodland,62,vascular
73,120,2-Summer,1-Peary,58.47,vascular
73,120,3-Autumn,1-Peary,66.73,vascular
73,120,4-Winter,1-Peary,33.6,vascular
73,120,5-Spring,1-Peary,39.8183333335,vascular
73.2467,93.5193,5-Spring,1-Peary,29,vascular
72.6766,99.4692,5-Spring,1-Peary,46,vascular
70.34,128,5-Spring,1-Peary,2,vascular
75.3,111.3,5-Spring,1-Peary,6,vascular
76.7775,118.9721,5-Spring,1-Peary,0,vascular
60.03,-7.25,4-Winter,5-Reindeer,10.45,vascular
60.03,-7.25,5-Spring,5-Reindeer,22,vascular
60.03,-7.25,1-Calving,5-Reindeer,25.1,vascular
60.03,-7.25,2-Summer,5-Reindeer,20.9,vascular
60.03,-7.25,3-Autumn,5-Reindeer,7.75,vascular
48.5,53,1-Calving,4-Woodland,27,vascular
48.5,53,2-Summer,4-Woodland,31,vascular
48.5,53,3-Autumn,4-Woodland,33,vascular
48.5,53,4-Winter,4-Woodland,30,vascular
64,124,4-Winter,2-Barren Ground,17.1,vascular
69.58,-26.46,4-Winter,5-Reindeer,26.25,vascular
69.58,-26.46,2-Summer,5-Reindeer,24.92,vascular
68.8,-27,4-Winter,5-Reindeer,30.8,vascular
68.8,-27,2-Summer,5-Reindeer,28.4,vascular
69.48,-26.38,2-Summer,5-Reindeer,37.85,vascular
69,-21,2-Summer,5-Reindeer,66.1,vascular
