plant_species,type_plant,study,year
Cetraria_sp,lichen,Larter and Nagy,2004
Cetraria_sp,lichen,Manseau et al.,1996
Cetraria_sp,lichen,Skogland,1984
Cetrariella_delisi,lichen,Joo et al,2014
Cetrariella_fastigiata,lichen,Joo et al,2014
Chamaedaphne_calyculata,shrub,Schaefer and Pruitt,1991
Chamaedaphne_calyculata,shrub,McNeill et al.,2020
Chamaedaphne_sp,shrub,Thompson et al,2015
Chamaedaphne_sp,shrub,Thompson et al,2015
Chamaedaphne_sp,shrub,Thompson et al,2015
Citraria_nivalis,lichen,Shank et al,1978
Cladina_mitis,lichen,Johnson et al,2001
Cladina_rangiferina,lichen,Cote,1998
Cladina_rangiferina,lichen,Johnson et al,2001
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_rangiferina,lichen,Thompson et al,2015
Cladina_sp,lichen,Denryter et al.,2017
Cladina_sp,lichen,Ferguson et al.,2001
Cladina_sp,lichen,Ferguson et al.,2001
Cladina_sp,lichen,Fischer and Gates,2005
Cladina_sp,lichen,Larter and Nagy,2004
Cladina_sp,lichen,Manseau et al.,1996
Cladina_sp,lichen,Schaefer and Pruitt,1991
Cladina_sp,lichen,Skogland,1984
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,Thompson et al,2015
Cladina_sp,lichen,McNeill et al.,2020
Cladina_stellaris,lichen,Cote,1998
Cladina_stellaris,lichen,Manseau et al.,1996
Cladina_stellaris,lichen,Thompson et al,2015
Cladina_stellaris,lichen,Thompson et al,2015
Cladina_stellaris,lichen,Thompson et al,2015
Cladinia_rangiferina,lichen,Thompson et al,2012
Cladonia_alpestris,lichen,Scotter,1964
Cladonia_arbuscula,lichen,Newmaster et al.,2013
Cladonia_ecmocyna,lichen,Johnson et al,2001
Cladonia_gracilis,lichen,Manseau et al.,1996
Cladonia_mitis,lichen,Newmaster et al.,2013
Cladonia_rangiferina,lichen,Scotter,1964
Cladonia_rangiferina,lichen,Zamin et al.,2017
Cladonia_sp,lichen,Denryter et al.,2017
Cladonia_sp,lichen,Ferguson et al.,2001
Cladonia_sp,lichen,Ferguson et al.,2001
Cladonia_sp,lichen,Fischer and Gates,2005
Cladonia_sp,lichen,Johnson et al,2001
Cladonia_sp,lichen,Kojola et al,1995
Cladonia_sp,lichen,Larter and Nagy,2004
Cladonia_sp,lichen,Schaefer and Pruitt,1991
Cladonia_sp,lichen,Shank et al,1978
Cladonia_sp,lichen,Thompson et al,2015
Cladonia_sp,lichen,Thompson et al,2015
Cladonia_sp,lichen,Thompson et al,2015
Cladonia_sp,lichen,White and Trudell,1980
Cladonia_sp,lichen,McNeill et al.,2020
Cladonia_stygia,lichen,Newmaster et al.,2013
Cladonia_uncialis,lichen,Johnson et al,2001
Cladonia_uncialis,lichen,Manseau et al.,1996
Clintonia_borealis,forb,Thompson et al,2012
Clintonia_borealis,forb,McNeill et al.,2020
Clintonia_borealis,forb,Thompson et al,2015
Clintonia_borealis,forb,Thompson et al,2015
Clintonia_borealis,forb,Thompson et al,2015
Clintonia_uniflora,forb,Denryter et al.,2017
Colobanthus_sp,forb,Leader-williams et al,1981
Compositae_sp,forb,Schaefer and Pruitt,1991
Compositeae_sp,forb,Shank et al,1978
Coptis_groenlandica,forb,Manseau et al.,1996
Coptis_sp,forb,McNeill et al.,2020
Coptis_sp,forb,Thompson et al,2015
Coptis_sp,forb,Thompson et al,2015
Coptis_sp,forb,Thompson et al,2015
Cornicularia_sp,lichen,Ferguson et al.,2001
Cornicularia_sp,lichen,Ferguson et al.,2001
Corniculata_divertica,lichen,Manseau et al.,1996
Cornus_alternifolia,shrub,McNeill et al.,2020
Cornus_canadensis,forb,Manseau et al.,1996
Cornus_canadensis,forb,McNeill et al.,2020
Cornus_canadensis,shrub,Christopherson et al.,2019
Cornus_sp,forb,Thompson et al,2015
Cornus_sp,forb,Thompson et al,2015
Cornus_sp,forb,Thompson et al,2015
Cornus_stolonifera,shrub,McNeill et al.,2020
Cortinarius_favrei,fungi,Joo et al,2014
Crepis_nana,forb,Kazmin and Abaturov,2011
Cyperaceae_sp,graminoid,Rozenfield et al,2012
Cyperaceae_sp,graminoid,Shank et al,1978
Cyperaceae_sp,sedge,Kojola et al,1995
Dactylina arctica,lichen,White and Trudell,1980
Dactylina_sp,lichen,Fischer and Gates,2005
Deschampsia_antarctica,graminoid,Leader-williams et al,1981
Deschampsia_flexuosa,graminoid,Skogland,1984
Deschampsia_sp,graminoid,Bjune,2000
Diapensia_lapponica,forb,Manseau et al.,1996
Dicranum_fuscescens,moss,Christopherson et al.,2019
Dicranum_scoparium,moss,Bjorkvoll et al,2009
Dicranum_sp,moss,Kojola et al,1995
Dicranum_sp,moss,Thompson et al,2015
Dicranum_sp,moss,Thompson et al,2015
Dicranum_sp,moss,Thompson et al,2015
Diervilla_lonicera,shrub,McNeill et al.,2020
Diervilla_sp,shrub,Thompson et al,2015
Diervilla_sp,shrub,Thompson et al,2015
Diervilla_sp,shrub,Thompson et al,2015
Draba_sp,forb,Shank et al,1978
Draba_sp,forb,Sormo et al,1999
Draba_sp,forb,Sormo et al,1999
Drepanocladus_sp,moss,Bjune,2000
Dryas_integrifolia,forb,Adamczewski et al,1988
Dryas_integrifolia,forb,Shank et al,1978
Dryas_integrifolia,forb,Larter and Nagy,2004
Dryas_integrifolia,shrub,Ferguson et al.,2001
Dryas_octopetala,forb,Bjune,2000
Dryas_octopetala,forb,Hansen et al.,2019
Dryas_octopetala,shrub,Bjorkvoll et al,2009
Dryas_octopetala,shrub,Cooper and Wookey,2003
Dryas_sp,shrub,Boertje,1984
Dryas_sp,shrub,Rozenfield et al,2012
Dryas_sp,shrub,Thompson and McCourt,1981
Dupontia_fisheri,graminoid,Wegener and Odasz-Albrigtsen,1998
Dupontia_sp,graminoid,Bjorkvoll et al,2009
Dupontia_sp,graminoid,Bjune,2000
Elymus_innovatus,graminoid,Denryter et al.,2017
Empetrum_nigrum,shrub,Adamczewski et al,1988
Empetrum_nigrum,shrub,Denryter et al.,2017
Empetrum_sp,shrub,Kojola et al,1995
Epilobium_angustifolium,forb,Denryter et al.,2017
Epilobium_angustifolium,forb,Manseau et al.,1996
Epilobium_angustifolium,forb,Schaefer and Pruitt,1991
Epilobium_latifolium,forb,Shank et al,1978
Equiesetum_avense,horsetail,Christopherson et al.,2019
Equiesetum_hyemale,horsetail,Christopherson et al.,2019
Equisetum_scirpoides,horsetail,Kazmin and Abaturov,2011
Equisetum_sp,horsetail,Finstand and Kielland,2011
Equisetum_sp,horsetail,Finstand and Kielland,2011
Equisetum_sp,horsetail,Finstand and Kielland,2011
Equisetum_sp,horsetail,Finstand and Kielland,2011
Equisetum_sp,horsetail,Finstand and Kielland,2011
Equisetum_sp,horsetail,Manseau et al.,1996
Equisetum_sp,horsetail,Manseau et al.,1996
Equisetum_sp,horsetail,Thompson et al,2015
Equisetum_sp,horsetail,Thompson et al,2015
Equisetum_sp,horsetail,Thompson et al,2015
Equisetum_sp,horsetail,Adamczewski et al,1988
Equisetum_sp,horsetail,Bjorkvoll et al,2009
Equisetum_sp,horsetail,Boertje,1984
Equisetum_sp,horsetail,Sormo et al,1999
Equisetum_sp,horsetail,Sormo et al,1999
Equisetum_sp,horsetail,Thompson and McCourt,1981
Equisetum_sp,horsetail,McNeill et al.,2020
Equisetum_sp,horsetail,Larter and Nagy,2004
Equisetum_sylvaticum,horsetail,Denryter et al.,2017
Equisetum_sylvaticum,horsetail,Christopherson et al.,2019
Eriophorum_angustifolium,graminoid,Trudell and White,1981
Eriophorum_angustifolium,sedge,Cote,1998
Eriophorum_polystachyon,sedge,Kazmin et al,2011
Eriophorum_scheuchzeri,sedge,Bjorkvoll et al,2009
Eriophorum_sp,forb,Skogland,1984
Eriophorum_sp,graminoid,Manseau et al.,1996
Eriophorum_sp,sedge,Thompson and McCourt,1981
Eriophorum_vaginatum,graminoid,Trudell and White,1981
Eriophorum_vaginatum,graminoid,Gustine et al.,2017
Eriophorum_vaginatum,graminoid,Zamin et al.,2017
Eriophorum_vaginatum,sedge,White and Trudell,1980
Evernia_mesomorpha,lichen,Scotter,1964
Evernia_mesomorpha,lichen,Thompson et al,2012
Evernia_sp,lichen,Schaefer and Pruitt,1991
Evernia_sp,lichen,Thompson et al,2015
Evernia_sp,lichen,Thompson et al,2015
Evernia_sp,lichen,Thompson et al,2015
Fabaceae_sp,forb,Rozenfield et al,2012
Festuca_baffinensis,graminoid,Kazmin et al,2011
Festuca_brachyphylla,graminoid,Kazmin et al,2011
Festuca_contracta,graminoid,Leader-williams et al,1981
Festuca_rubra,graminoid,Bjorkvoll et al,2009
